5200.KL,UOADEV.KL
5202.KL,MSM.KL
5204.KL,AWANTEC.KL
5205.KL,SENDAI.KL
5207.KL,SBCCORP.KL
5208.KL,EITA.KL
5209.KL,GASMSIA.KL
5210.KL,ARMADA.KL
5211.KL,SUNWAY.KL
5212.KL,PAVREIT.KL
5216.KL,NEXG.KL
5218.KL,VANTNRG.KL
5219.KL,PESTEC.KL
5220.KL,GLOTEC.KL
5223.KL,MENTIGA.KL
5225.KL,IHH.KL
5226.KL,GBGAQRS.KL
5227.KL,IGBREIT.KL
5228.KL,ELKDESA.KL
5230.KL,TUNEPRO.KL
5231.KL,PBSB.KL
5232.KL,LEONFB.KL
5235SS.KL,KLCC.KL
5236.KL,MATRIX.KL
5238.KL,AAX.KL
5239.KL,TITIJYA.KL
5242.KL,SOLID.KL
5243.KL,VELESTO.KL
5246.KL,WPRTS.KL
5247.KL,KAREX.KL
5248.KL,BAUTO.KL
5249.KL,IOIPG.KL
5250.KL,SEM.KL
5252.KL,SASBADI.KL
5253.KL,ECONBHD.KL
5255.KL,LFG.KL
5257.KL,CARIMIN.KL
5258.KL,BIMB.KL
5259.KL,AVANGAAD.KL
5260.KL,OWG.KL
5263.KL,SUNCON.KL
5264.KL,MALAKOF.KL
5265.KL,OASIS.KL
5267.KL,XINHWA.KL
5269.KL,ALSREIT.KL
5271.KL,PECCA.KL
5272.KL,RANHILL.KL
5273.KL,CHINHIN.KL
5274.KL,HLCAP.KL
5275.KL,MYNEWS.KL
5276.KL,DANCO.KL
5277.KL,FPGROUP.KL
5278.KL,RHONEMA.KL
5280.KL,KIPREIT.KL
5281.KL,ADVCON.KL
5283.KL,EWICAP.KL
5284.KL,LCTITAN.KL
5285.KL,SDG.KL
5286.KL,MI.KL
5288.KL,SIMEPROP.KL
5289.KL,TECHBND.KL
5291.KL,HPMT.KL
5292.KL,UWC.KL
5293.KL,AME.KL
5295.KL,INNATURE.KL
5296.KL,MRDIY.KL
5297.KL,TJSETIA.KL
5298.KL,OMH.KL
5299.KL,IGBCR.KL
5300.KL,YENHER.KL
5301.KL,CTOS.KL
5302.KL,ATECH.KL
5303.KL,SWIFT.KL
5305.KL,SENHENG.KL
5306.KL,FFB.KL
5307.KL,AMEREIT.KL
5308.KL,SENFONG.KL
5309.KL,ITMAX.KL
5310.KL,KITACON.KL
5311.KL,CEB.KL
5313.KL,RADIUM.KL
5315.KL,SKYWLD.KL
5316.KL,MSTGOLF.KL
5317.KL,CPETECH.KL
5318.KL,DXN.KL
5319.KL,MKHOP.KL
5320.KL,PLINTAS.KL
5321.KL,KEYFIELD.KL
5322.KL,FEYTECH.KL
5323.KL,JPG.KL
5325.KL,WELLCHIP.KL
5326.KL,99SMART.KL
5327.KL,MEGAFB.KL
5328.KL,LWSABAH.KL
5329.KL,AZAMJAYA.KL
5330.KL,TMK.KL
5331.KL,PGLOBAL.KL
5332.KL,REACHTEN.KL
5335.KL,HI.KL
5336.KL,CKI.KL
5337.KL,ECOSHOP.KL
5338.KL,PARADIGM.KL
5340.KL,UMSINT.KL
5341.KL,LACMED.KL
5343.KL,GENERGY.KL
5345.KL,GEOHAN.KL
5346.KL,HOCKSOON.KL
5347.KL,TENAGA.KL
5348.KL,ORKIM.KL
5351.KL,EMPIRE.KL
5352.KL,MTTSL.KL
5357.KL,SKYECHIP.KL
5371.KL,KIMHIN.KL
5398.KL,GAMUDA.KL
5401.KL,TROP.KL
5436.KL,PERSTIM.KL
5517.KL,SHANG.KL
5533.KL,OCB.KL
5555.KL,SUNMED.KL
5568.KL,APB.KL
5576.KL,MINHO.KL
5592.KL,GCE.KL
5606.KL,IGBB.KL
5614.KL,NHB.KL
5622.KL,PEB.KL
5649.KL,GPHAROS.KL
5657.KL,PARKSON.KL
5665.KL,SSTEEL.KL
5673.KL,JSB.KL
5681.KL,PETDAG.KL
5703.KL,MUHIBAH.KL
5738.KL,CHHB.KL
5789.KL,LBS.KL
5797.KL,CHOOBEE.KL
5819.KL,HLBANK.KL
5827.KL,OIB.KL
5843.KL,KPS.KL
5878.KL,KPJ.KL
5908.KL,DKSH.KL
5916.KL,MSC.KL
5932.KL,BPURI.KL
5983.KL,MBMR.KL
6009.KL,P&O.KL
6012.KL,MAXIS.KL
6017.KL,SHL.KL
6033.KL,PETGAS.KL
6041.KL,FARLIM.KL
6068.KL,PCCS.KL
6076.KL,ENCORP.KL
6084.KL,STAR.KL
6114.KL,MKH.KL
6139.KL,TAKAFUL.KL
6149.KL,METROD.KL
6173.KL,BDB.KL
6181.KL,MALTON.KL
6203.KL,KHEESAN.KL
6211.KL,KIALIM.KL
6254.KL,PDZ.KL
6262.KL,INNO.KL
6297.KL,BOXPAK.KL
6351.KL,AMWAY.KL
6378.KL,BEDI.KL
6399.KL,ASTRO.KL
6432.KL,APOLLO.KL
6459.KL,MNRB.KL
6483.KL,KENANGA.KL
6491.KL,KFIMA.KL
6521.KL,SURIA.KL
6556.KL,ANNJOO.KL
6599.KL,AEON.KL
6602.KL,BCB.KL
6633.KL,LHI.KL
6637.KL,PNEPCB.KL
6718.KL,CRESNDO.KL
6742.KL,YTLPOWR.KL
6769.KL,JKGLAND.KL
6807.KL,PUNCAK.KL
6815.KL,EUPE.KL
6874.KL,JAGCPTL.KL
6888.KL,AXIATA.KL
